text,rand
"""孤鸿海上来，池潢不敢顾。""",0.565111433
"""侧见双翠鸟，巢在三珠树。""",0.5797353
"""矫矫珍木巅，得无金丸惧。""",0.139300163
"""美服患人指，高明逼神恶。""",0.009528386
"""今我游冥冥，弋者何所慕。""",0.833710181
"""兰叶春葳蕤，桂华秋皎洁。""",0.496880668
"""欣欣此生意，自尔为佳节。""",0.777257305
"""谁知林栖者，闻风坐相悦。""",0.823075579
"""草木有本心，何求美人折？""",0.103395303
"""幽人归独卧，滞虑洗孤清。""",0.838469288
"""持此谢高鸟，因之传远情。""",0.00202349
"""日夕怀空意，人谁感至精？""",0.066572143
"""飞沈理自隔，何所慰吾诚？""",0.420234648
"""江南有丹橘，经冬犹绿林。""",0.108931023
"""岂伊地气暖，自有岁寒心。""",0.921062697
"""可以荐嘉客，奈何阻重深！""",0.790707186
"""运命惟所遇，循环不可寻。""",0.315415593
"""徒言树桃李，此木岂无阴？""",0.812926606
"""暮从碧山下，山月随人归，""",0.452451255
"""却顾所来径，苍苍横翠微。""",0.317737144
"""相携及田家，童稚开荆扉。""",0.417582282
"""绿竹入幽径，青萝拂行衣。""",0.472129016
"""欢言得所憩，美酒聊共挥。""",0.843856537
"""长歌吟松风，曲尽河星稀。""",0.059126252
"""我醉君复乐，陶然共忘机。""",0.939912636
"""花间一壶酒，独酌无相亲。""",0.794373249
"""举杯邀明月，对影成三人。""",0.061393961
"""月既不解饮，影徒随我身。""",0.10775688
"""暂伴月将影，行乐须及春。""",0.255641934
"""我歌月徘徊，我舞影零乱。""",0.694443091
"""醒时同交欢，醉后各分散。""",0.933575084
"""永结无情游，相期邈云汉。""",0.954714094
"""燕草如碧丝，秦桑低绿枝。""",0.300341225
"""当君怀归日，是妾断肠时。""",0.987688894
"""春风不相识，何事入罗帏？""",0.619091516
"""岱宗夫如何，齐鲁青未了。""",0.445889582
"""造化钟神秀，阴阳割昏晓。""",0.845297255
"""汤胸生层云，决眦入归鸟，""",0.673162645
"""会当凌绝顶，一览众山小。""",0.147405443
"""人生不相见，动如参与商。""",0.920810519
"""今夕复何夕，共此灯烛光。""",0.172393396
"""少壮能几时，鬓发各已苍。""",0.218895699
"""访旧半为鬼，惊呼热中肠。""",0.1152894
"""焉知二十载，重上君子堂。""",0.533263698
"""昔别君未婚，儿女忽成行。""",0.214658437
